"model","HR_CI","p_value"
"model1","1.03 ( 1.03 - 1.04 )","<0.001"
"model1","2.69 ( 2.11 - 3.43 )","<0.001"
"model1","1.01 ( 0.99 - 1.02 )","0.543"
"model1","1.94 ( 1.65 - 2.28 )","<0.001"
"model1","1.27 ( 1.05 - 1.54 )","0.015"
"model1","0.76 ( 0.64 - 0.89 )","<0.001"
"model1","0.98 ( 0.84 - 1.15 )","0.827"
"model1","1.69 ( 1.32 - 2.16 )","<0.001"
"model1","1.02 ( 0.79 - 1.31 )","0.903"
"model1","2.82 ( 2.00 - 3.99 )","<0.001"
"model1","1.02 ( 0.86 - 1.19 )","0.854"
"model1","0.90 ( 0.85 - 0.96 )","0.002"
"model2","1.02 ( 1.02 - 1.03 )","<0.001"
"model2","2.24 ( 1.76 - 2.86 )","<0.001"
"model2","1.01 ( 1.00 - 1.03 )","0.167"
"model2","1.56 ( 1.33 - 1.83 )","<0.001"
"model2","1.25 ( 1.03 - 1.52 )","0.025"
"model2","0.78 ( 0.66 - 0.92 )","0.004"
"model2","0.99 ( 0.84 - 1.16 )","0.877"
"model2","1.27 ( 0.98 - 1.64 )","0.068"
"model2","0.95 ( 0.74 - 1.23 )","0.723"
"model2","2.64 ( 1.87 - 3.73 )","<0.001"
"model2","1.00 ( 0.85 - 1.17 )","0.982"
"model2","0.93 ( 0.87 - 0.99 )","0.023"
"model2","1.63 ( 1.57 - 1.68 )","<0.001"
"model3A","1.02 ( 1.01 - 1.03 )","<0.001"
"model3A","2.29 ( 1.80 - 2.92 )","<0.001"
"model3A","1.01 ( 0.99 - 1.03 )","0.324"
"model3A","1.56 ( 1.33 - 1.83 )","<0.001"
"model3A","1.29 ( 1.06 - 1.57 )","0.011"
"model3A","0.76 ( 0.64 - 0.90 )","0.001"
"model3A","1.03 ( 0.88 - 1.21 )","0.734"
"model3A","1.35 ( 1.05 - 1.74 )","0.021"
"model3A","0.98 ( 0.76 - 1.27 )","0.898"
"model3A","2.66 ( 1.88 - 3.75 )","<0.001"
"model3A","0.99 ( 0.84 - 1.16 )","0.865"
"model3A","0.95 ( 0.89 - 1.01 )","0.111"
"model3A","1.60 ( 1.54 - 1.65 )","<0.001"
"model3A","2.45 ( 2.05 - 2.93 )","<0.001"
"model3B","1.02 ( 1.01 - 1.03 )","<0.001"
"model3B","2.29 ( 1.80 - 2.92 )","<0.001"
"model3B","1.01 ( 0.99 - 1.03 )","0.173"
"model3B","1.52 ( 1.30 - 1.79 )","<0.001"
"model3B","1.26 ( 1.03 - 1.54 )","0.022"
"model3B","0.79 ( 0.67 - 0.93 )","0.006"
"model3B","1.05 ( 0.89 - 1.23 )","0.562"
"model3B","1.26 ( 0.98 - 1.64 )","0.073"
"model3B","0.94 ( 0.73 - 1.22 )","0.667"
"model3B","2.78 ( 1.97 - 3.92 )","<0.001"
"model3B","0.99 ( 0.84 - 1.17 )","0.898"
"model3B","0.96 ( 0.90 - 1.02 )","0.172"
"model3B","1.59 ( 1.54 - 1.65 )","<0.001"
"model3B","1.49 ( 1.14 - 1.95 )","0.003"
"model3B","3.92 ( 3.16 - 4.87 )","<0.001"
"model3C","1.02 ( 1.01 - 1.03 )","<0.001"
"model3C","2.33 ( 1.82 - 2.97 )","<0.001"
"model3C","1.01 ( 0.99 - 1.02 )","0.475"
"model3C","1.51 ( 1.28 - 1.77 )","<0.001"
"model3C","1.25 ( 1.02 - 1.52 )","0.028"
"model3C","0.79 ( 0.67 - 0.93 )","0.006"
"model3C","1.07 ( 0.91 - 1.25 )","0.424"
"model3C","1.41 ( 1.09 - 1.83 )","0.008"
"model3C","1.00 ( 0.77 - 1.29 )","0.976"
"model3C","2.70 ( 1.91 - 3.81 )","<0.001"
"model3C","0.99 ( 0.84 - 1.16 )","0.860"
"model3C","0.95 ( 0.89 - 1.01 )","0.088"
"model3C","1.59 ( 1.54 - 1.65 )","<0.001"
"model3C","2.05 ( 1.83 - 2.30 )","<0.001"
